Test,Statistic,Original_PValue,Cohen_d,Corrected_PValue_FDR,Significant_after_FDR
T-test: Baixo vs Alto consumo,0.006785531736962296,0.9945861960871477,0.00017515477961060728,0.9945861960871477,False
Mann-Whitney: Baixo vs Alto consumo,4506320.0,0.9779633428352053,,0.9945861960871477,False
ANOVA: Plataforma,2.7647213526769443,0.06303378569802172,,0.2521351427920869,False
Kruskal: Plataforma,5.546451384454024,0.06246020205219284,,0.2521351427920869,False
ANOVA: Quartis Consumo,0.32225496236263673,0.8092928048531709,,0.9945861960871477,False
Kruskal: Quartis Consumo,0.9763110137842047,0.8069837267965344,,0.9945861960871477,False
ANOVA: Quartis Ratio,0.5646063947352187,0.6383197090648491,,0.9945861960871477,False
Kruskal: Quartis Ratio,1.6854674303755575,0.6401695372908149,,0.9945861960871477,False
