Model_Type,Model_Name,MAE,MSE,RMSE,R2,Accuracy,Precision,Recall,F1_Score
Regression,Dummy Regressor,2.253296702604167,6.74814830238802,2.5976793165997867,-0.00014625893033604065,,,,
Regression,Linear Regression,2.251959832005216,6.7494016329383,2.5979144153540528,-0.00032514694306462477,,,,
Regression,Ridge Regression,2.2519544918063272,6.749344712696633,2.597903398586171,-0.0003166216969105129,,,,
Regression,Random Forest Regressor,2.2870909999999998,7.0720003061200005,2.659289325945528,-0.04818479975758607,,,,
Regression,Gradient Boosting Regressor,2.2552048414714876,6.775686169879252,2.6029762156687974,-0.004231043192675088,,,,
Classification,Dummy Classifier,,,,,0.5000833333333333,0.25004166666666666,0.5,0.3333703600851615
Classification,Logistic Regression,,,,,0.51075,0.5107591603624171,0.51075097540577,0.5106430165886555
Classification,Random Forest Classifier,,,,,0.5016666666666667,0.5016640067415261,0.5016615986075916,0.5007996289628697
Classification,Gradient Boosting Classifier,,,,,0.5098333333333334,0.5098394574431891,0.5098331274304126,0.509741694926384
